atc_index,atc_code
1376,C01EB22
1377,C01EB23
1378,C01EX
1379,C02
1380,C02A
1381,C02AA
1382,C02AA01
1383,C02AA02
1384,C02AA02
1385,C02AA03
1386,C02AA04
1387,C02AA05
1388,C02AA06
1389,C02AA07
1390,C02AA52
1391,C02AA53
1392,C02AA57
1393,C02AB
1394,C02AB01
1395,C02AB01
1396,C02AB02
1397,C02AC
1398,C02AC01
1399,C02AC01
1400,C02AC02
1401,C02AC04
1402,C02AC05
1403,C02AC06
1404,C02B
1405,C02BA
1406,C02BA01
1407,C02BB
1408,C02BB01
1409,C02BC
1410,C02C
1411,C02CA
1412,C02CA01
1413,C02CA02
1414,C02CA03
1415,C02CA04
1416,C02CA06
1417,C02CA06
1418,C02CC
1419,C02CC01
1420,C02CC02
1421,C02CC03
1422,C02CC04
1423,C02CC05
1424,C02CC06
1425,C02CC07
1426,C02D
1427,C02DA
1428,C02DA01
1429,C02DB
1430,C02DB01
1431,C02DB01
1432,C02DB02
1433,C02DB03
1434,C02DB04
1435,C02DC
1436,C02DC01
1437,C02DD
1438,C02DD01
1439,C02DG
1440,C02DG01
1441,C02K
1442,C02KA
1443,C02KA01
1444,C02KB
1445,C02KB01
1446,C02KC
1447,C02KC01
1448,C02KD
1449,C02KD01
1450,C02KD01
1451,C02KX
1452,C02KX01
1453,C02KX02
1454,C02KX03
1455,C02KX04
1456,C02KX05
1457,C02KX52
1458,C02L
1459,C02LA
1460,C02LA01
1461,C02LA02
1462,C02LA03
1463,C02LA04
1464,C02LA07
1465,C02LA08
1466,C02LA09
1467,C02LA50
1468,C02LA51
1469,C02LA52
1470,C02LA71
1471,C02LB
1472,C02LB01
1473,C02LC
1474,C02LC01
1475,C02LC05
1476,C02LC51
1477,C02LE
1478,C02LE01
1479,C02LF
1480,C02LF01
1481,C02LG
1482,C02LG01
1483,C02LG02
1484,C02LG03
1485,C02LG51
1486,C02LG73
1487,C02LK
1488,C02LK01
1489,C02LL
1490,C02LL01
1491,C02LN
1492,C02LX
1493,C02LX01
1494,C02N
1495,C03
1496,C03A
1497,C03AA
1498,C03AA01
1499,C03AA02
1500,C03AA03
1501,C03AA04
1502,C03AA05
1503,C03AA06
1504,C03AA07
1505,C03AA08
1506,C03AA09
1507,C03AA13
1508,C03AB
1509,C03AB01
1510,C03AB02
1511,C03AB03
1512,C03AB04
1513,C03AB05
1514,C03AB06
1515,C03AB07
1516,C03AB08
1517,C03AB09
1518,C03AH
1519,C03AH01
1520,C03AH02
1521,C03AX
1522,C03AX01
1523,C03B
1524,C03BA
1525,C03BA02
1526,C03BA03
1527,C03BA04
1528,C03BA05
1529,C03BA07
1530,C03BA08
1531,C03BA09
1532,C03BA10
1533,C03BA11
1534,C03BA12
1535,C03BA13
1536,C03BA82
1537,C03BB
1538,C03BB02
1539,C03BB03
1540,C03BB04
1541,C03BB05
1542,C03BB07
1543,C03BC
1544,C03BC01
1545,C03BD
1546,C03BD01
1547,C03BK
1548,C03BX
1549,C03BX03
1550,C03C
1551,C03CA
1552,C03CA01
1553,C03CA01
1554,C03CA02
1555,C03CA02
1556,C03CA03
1557,C03CA04
1558,C03CA04
1559,C03CB
1560,C03CB01
1561,C03CB02
1562,C03CC
1563,C03CC01
1564,C03CC01
1565,C03CC02
1566,C03CD
1567,C03CD01
1568,C03CX
1569,C03CX01
1570,C03D
1571,C03DA
1572,C03DA01
1573,C03DA02
1574,C03DA03
1575,C03DA04
1576,C03DB
1577,C03DB01
1578,C03DB02
1579,C03E
1580,C03EA
1581,C03EA01
1582,C03EA02
1583,C03EA03
1584,C03EA04
1585,C03EA05
1586,C03EA06
1587,C03EA07
1588,C03EA12
1589,C03EA13
1590,C03EA14
1591,C03EB
1592,C03EB01
1593,C03EB02
1594,C03X
1595,C03XA
1596,C03XA01
1597,C03XA02
1598,C04
1599,C04A
1600,C04AA
1601,C04AA01
1602,C04AA01
1603,C04AA02
1604,C04AA31
1605,C04AB
1606,C04AB01
1607,C04AB01
1608,C04AB02
1609,C04AC
1610,C04AC01
1611,C04AC01
1612,C04AC02
1613,C04AC02
1614,C04AC03
1615,C04AC07
1616,C04AD
1617,C04AD01
1618,C04AD02
1619,C04AD02
1620,C04AD03
1621,C04AD03
1622,C04AD04
1623,C04AE
1624,C04AE01
1625,C04AE01
1626,C04AE02
1627,C04AE04
1628,C04AE51
1629,C04AE54
1630,C04AF
1631,C04AF01
1632,C04AF01
1633,C04AX
1634,C04AX01
1635,C04AX02
1636,C04AX07
1637,C04AX10
1638,C04AX11
1639,C04AX17
1640,C04AX19
1641,C04AX20
1642,C04AX21
1643,C04AX23
1644,C04AX24
1645,C04AX26
1646,C04AX27
1647,C04AX28
1648,C04AX30
1649,C04AX32
1650,C05
1651,C05A
1652,C05AA
1653,C05AA01
1654,C05AA04
1655,C05AA05
1656,C05AA06
1657,C05AA08
1658,C05AA09
1659,C05AA10
1660,C05AA11
1661,C05AA12
1662,C05AB
1663,C05AD
1664,C05AD01
1665,C05AD02
1666,C05AD03
1667,C05AD04
1668,C05AD05
1669,C05AD06
1670,C05AD07
1671,C05AE
1672,C05AE01
1673,C05AE02
1674,C05AE03
1675,C05AX
1676,C05AX01
1677,C05AX02
1678,C05AX03
1679,C05AX04
1680,C05AX05
1681,C05B
1682,C05BA
1683,C05BA01
1684,C05BA02
1685,C05BA03
1686,C05BA04
1687,C05BA51
1688,C05BA53
1689,C05BB
1690,C05BB01
1691,C05BB02
1692,C05BB03
1693,C05BB04
1694,C05BB05
1695,C05BB56
1696,C05BX
1697,C05BX01
1698,C05BX51
1699,C05C
1700,C05CA
1701,C05CA01
1702,C05CA02
1703,C05CA03
1704,C05CA04
1705,C05CA05
1706,C05CA51
1707,C05CA53
1708,C05CA54
1709,C05CX
1710,C05CX01
1711,C05CX02
1712,C05CX03
1713,C07
1714,C07A
